"band";"rank"
"http://dbpedia.org/resource/Nirvana_(band)";60.247
"http://dbpedia.org/resource/Grateful_Dead";53.1277
"http://dbpedia.org/resource/Black_Sabbath";52.7286
"http://dbpedia.org/resource/Oasis_(band)";48.3182
"http://dbpedia.org/resource/ABBA";45.3433
"http://dbpedia.org/resource/R.E.M.";44.7752
"http://dbpedia.org/resource/Bon_Jovi";41.7707
"http://dbpedia.org/resource/Deep_Purple";40.9412
"http://dbpedia.org/resource/The_Doors";39.2122
"http://dbpedia.org/resource/Sonic_Youth";35.4796
"http://dbpedia.org/resource/Genesis_(band)";34.7288
"http://dbpedia.org/resource/The_Byrds";31.9872
"http://dbpedia.org/resource/The_Smiths";30.9672
"http://dbpedia.org/resource/The_Smashing_Pumpkins";30.6925
"http://dbpedia.org/resource/Megadeth";30.2445
"http://dbpedia.org/resource/Spice_Girls";28.6535
"http://dbpedia.org/resource/Rage_Against_the_Machine";27.4589
"http://dbpedia.org/resource/New_Order";27.3122
"http://dbpedia.org/resource/The_Supremes";27.0166
"http://dbpedia.org/resource/Blondie_(band)";26.6684
"http://dbpedia.org/resource/Alice_in_Chains";26.6682
"http://dbpedia.org/resource/The_Jackson_5";26.6545
"http://dbpedia.org/resource/Talking_Heads";26.2855
"http://dbpedia.org/resource/Joy_Division";24.5188
"http://dbpedia.org/resource/Simon_&_Garfunkel";24.3885
"http://dbpedia.org/resource/Blink-182";24.175
"http://dbpedia.org/resource/King_Crimson";24.1576
"http://dbpedia.org/resource/Jethro_Tull_(band)";23.1495
"http://dbpedia.org/resource/Soundgarden";23.1107
"http://dbpedia.org/resource/Lynyrd_Skynyrd";22.8815
"http://dbpedia.org/resource/The_Band";22.6338
"http://dbpedia.org/resource/The_Allman_Brothers_Band";22.5831
"http://dbpedia.org/resource/The_White_Stripes";22.5819
"http://dbpedia.org/resource/Outkast";22.2724
"http://dbpedia.org/resource/Dire_Straits";21.8941
"http://dbpedia.org/resource/NSYNC";21.7109
"http://dbpedia.org/resource/Destiny's_Child";21.3005
"http://dbpedia.org/resource/The_Stooges";21.1494
"http://dbpedia.org/resource/Sly_and_the_Family_Stone";21.0246
"http://dbpedia.org/resource/Gorillaz";20.5126
"http://dbpedia.org/resource/The_Moody_Blues";20.3419
"http://dbpedia.org/resource/The_Animals";20.0758
"http://dbpedia.org/resource/Phish";19.8303
"http://dbpedia.org/resource/My_Chemical_Romance";19.7391
"http://dbpedia.org/resource/Devo";19.6668
"http://dbpedia.org/resource/Jefferson_Airplane";19.6344
"http://dbpedia.org/resource/Bob_Marley_and_the_Wailers";19.3787
"http://dbpedia.org/resource/Pantera";19.2274
"http://dbpedia.org/resource/Black_Flag_(band)";18.6747
"http://dbpedia.org/resource/Alvin_and_the_Chipmunks";18.65
"http://dbpedia.org/resource/Electric_Light_Orchestra";18.6159
"http://dbpedia.org/resource/Take_That";18.5979
"http://dbpedia.org/resource/Limp_Bizkit";18.5744
"http://dbpedia.org/resource/The_Jimi_Hendrix_Experience";18.3657
"http://dbpedia.org/resource/Creedence_Clearwater_Revival";18.2622
"http://dbpedia.org/resource/Small_Faces";18.2123
"http://dbpedia.org/resource/System_of_a_Down";18.1656
"http://dbpedia.org/resource/Steely_Dan";18.0109
"http://dbpedia.org/resource/The_Shadows";17.3623
"http://dbpedia.org/resource/Emerson,_Lake_&_Palmer";16.9888
"http://dbpedia.org/resource/Jonas_Brothers";16.8458
"http://dbpedia.org/resource/Westlife";16.7465
"http://dbpedia.org/resource/Styx_(band)";16.7277
"http://dbpedia.org/resource/INXS";16.7009
"http://dbpedia.org/resource/Eurythmics";16.5937
"http://dbpedia.org/resource/N.W.A";16.5706
"http://dbpedia.org/resource/Ministry_(band)";16.0646
"http://dbpedia.org/resource/Brooks_&_Dunn";16.0289
"http://dbpedia.org/resource/Madness_(band)";15.9511
"http://dbpedia.org/resource/Buzzcocks";15.8999
"http://dbpedia.org/resource/Misfits_(band)";15.8321
"http://dbpedia.org/resource/The_Stone_Roses";15.6536
"http://dbpedia.org/resource/Jane's_Addiction";15.5307
"http://dbpedia.org/resource/Bill_Haley_&_His_Comets";15.503
"http://dbpedia.org/resource/The_Jam";15.4575
"http://dbpedia.org/resource/MC5";15.1933
"http://dbpedia.org/resource/Faith_No_More";14.6919
"http://dbpedia.org/resource/The_Miracles";14.5895
"http://dbpedia.org/resource/Dead_Kennedys";14.5275
"http://dbpedia.org/resource/New_York_Dolls";14.5262
"http://dbpedia.org/resource/Primus_(band)";14.4272
"http://dbpedia.org/resource/The_Mamas_&_the_Papas";14.1408
"http://dbpedia.org/resource/A_Tribe_Called_Quest";14.1321
"http://dbpedia.org/resource/Sepultura";13.9873
"http://dbpedia.org/resource/Evanescence";13.8379
"http://dbpedia.org/resource/Sugababes";13.6948
"http://dbpedia.org/resource/Cocteau_Twins";13.6149
"http://dbpedia.org/resource/De_La_Soul";13.5397
"http://dbpedia.org/resource/My_Bloody_Valentine_(band)";13.4276
"http://dbpedia.org/resource/Dinosaur_Jr.";13.2286
"http://dbpedia.org/resource/Pulp_(band)";13.2261
"http://dbpedia.org/resource/The_Replacements_(band)";13.219
"http://dbpedia.org/resource/The_Jesus_and_Mary_Chain";13.1733
"http://dbpedia.org/resource/Pavement_(band)";13.1705
"http://dbpedia.org/resource/XTC";13.1205
"http://dbpedia.org/resource/The_Black_Crowes";13.1196
"http://dbpedia.org/resource/The_Doobie_Brothers";12.901
"http://dbpedia.org/resource/Whitesnake";12.8881
"http://dbpedia.org/resource/Bill_Monroe";12.7728
"http://dbpedia.org/resource/Kool_&_the_Gang";12.533
